# Mol_Title	ID	SMILES
ZINC00003015	DUD_ace_D_1	CC(NC(=O)c1ccccc1SC(=O)NC(C)(C)C)C(N)=O
ZINC02626837	DUD_ace_D_684	O=C(CSc1n[nH]c(=O)n1C1CC1)NCc1ccccc1
ZINC02629473	DUD_ace_D_685	O=C([O-])C1CCN(C(=O)CSc2nc3ccccc3s2)CC1
ZINC02633003	DUD_ace_D_686	COCC(C)NC(=O)CNS(=O)(=O)c1ccc(Cl)cc1
ZINC02636828	DUD_ace_D_687	CC(C)C(C)NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC02636829	DUD_ace_D_688	CC(C)C(C)NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC02641241	DUD_ace_D_689	CCCn1c(O)nnc1SCC(=O)NCc1ccc(F)cc1
ZINC02644404	DUD_ace_D_690	C=CCn1c(SC(C)C(=O)NC(N)=O)nnc1-c1ccccc1OC
ZINC02644405	DUD_ace_D_691	C=CCn1c(SC(C)C(=O)NC(N)=O)nnc1-c1ccccc1OC
ZINC02645088	DUD_ace_D_692	COc1ccc(CNC(=O)CSc2nnc[nH]2)cc1OC
ZINC02645407	DUD_ace_D_693	C=CCn1c(COc2ccccc2F)nnc1SC(C)C(N)=O
ZINC02645408	DUD_ace_D_694	C=CCn1c(COc2ccccc2F)nnc1SC(C)C(N)=O
ZINC02649631	DUD_ace_D_695	Cc1cccc(OCc2nnc(SC(C)C(=O)NC(N)=O)o2)c1
ZINC02656340	DUD_ace_D_696	COCCNC(=O)NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC02661712	DUD_ace_D_697	O=C(CSc1n[nH]c(=O)n1C1CC1)NCc1ccc2c(c1)OCO2
ZINC02664352	DUD_ace_D_698	C=CCn1c(SCC(=O)N(C)C)nc2cc(C(=O)[O-])ccc2c1=O
ZINC02667966	DUD_ace_D_699	CC(=O)NC(CSC(C[N+](=O)[O-])c1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02667967	DUD_ace_D_700	CC(=O)NC(CSC(C[N+](=O)[O-])c1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02667968	DUD_ace_D_701	CC(=O)NC(CSC(C[N+](=O)[O-])c1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02667969	DUD_ace_D_702	CC(=O)NC(CSC(C[N+](=O)[O-])c1ccc2c(c1)OCO2)C(=O)[O-]
ZINC02668817	DUD_ace_D_703	C=CCn1c(=O)c2ccccc2nc1SCC(=O)NCCO
ZINC02679873	DUD_ace_D_704	CSCCC(NC(=O)COc1cccc2ccccc21)C(=O)[O-]
ZINC02679882	DUD_ace_D_705	CC(C)CC(NC(=O)COc1ccccc1[N+](=O)[O-])C(=O)[O-]
ZINC02679884	DUD_ace_D_706	CC(C)CC(NC(=O)COc1cccc(Br)c1)C(=O)[O-]
ZINC02679885	DUD_ace_D_707	CC(C)CC(NC(=O)COc1cccc(Br)c1)C(=O)[O-]
ZINC02699386	DUD_ace_D_708	O=C([O-])c1ccc(CNC(=O)CSc2ncccn2)cc1
ZINC02700579	DUD_ace_D_709	C=CCn1c(SCC(N)=O)nnc1-c1ccc(OC)c(OC)c1
ZINC02703211	DUD_ace_D_710	O=C([O-])CCC(=O)NCCNC(=S)Nc1ccccc1
ZINC02713783	DUD_ace_D_711	COCCn1c(Cc2cccn2C)nnc1SCC(N)=O
ZINC02725853	DUD_ace_D_712	COCC(C)n1c(SC(C)C(=O)NC(N)=O)nc2ccccc2c1=O
ZINC02726168	DUD_ace_D_713	COC(=O)c1cccc(NC(=O)C(CCSC)NC(N)=O)c1
ZINC02726694	DUD_ace_D_714	O=C([O-])C1CCCN1C(=O)CCCn1c(=O)[nH]c2ccccc2c1=O
ZINC02728565	DUD_ace_D_715	CNC(=O)CC1C(=O)N(Cc2ccccc2)C(=S)N1NC(C)=O
ZINC02730129	DUD_ace_D_716	CCn1nccc1C(C)NC(=O)C1C2CCC(O2)C1C(=O)[O-]
ZINC02731603	DUD_ace_D_717	CCn1cc(CNC(=O)CCn2cc(Cl)c([N+](=O)[O-])n2)cn1
ZINC02738764	DUD_ace_D_718	O=C([O-])CCC(=O)NCCCCc1ccccc1
ZINC02744830	DUD_ace_D_719	C=CCn1c(COc2ccccc2)nnc1SCC(N)=O
ZINC02745377	DUD_ace_D_720	O=C([O-])CCCC(=O)NCCCc1ccccc1
ZINC02748151	DUD_ace_D_721	O=C([O-])C1C2C=CC(O2)C1C(=O)NCCCc1ccccc1
ZINC02755700	DUD_ace_D_722	O=C([O-])c1ccc(CNC(=O)C2CCCCC2C(=O)[O-])cc1
ZINC02760168	DUD_ace_D_723	Cc1cc(OC(C)C(=O)NCc2ccc(C(=O)[O-])cc2)ccc1Cl
ZINC02760169	DUD_ace_D_724	Cc1cc(OC(C)C(=O)NCc2ccc(C(=O)[O-])cc2)ccc1Cl
ZINC02761481	DUD_ace_D_725	CC(Oc1ccccc1Cl)C(=O)NCc1ccc(C(=O)[O-])cc1
ZINC02761482	DUD_ace_D_726	CC(Oc1ccccc1Cl)C(=O)NCc1ccc(C(=O)[O-])cc1
ZINC02771003	DUD_ace_D_727	O=C([O-])C1C2CCC(O2)C1C(=O)NCCn1cc(Cl)cn1
ZINC02771524	DUD_ace_D_728	O=C([O-])C1C2C=CC(O2)C1C(=O)NCCC1=CCCCC1
ZINC02774200	DUD_ace_D_729	O=C([O-])CCCC(=O)NCCc1cccc(Cl)c1
ZINC02777568	DUD_ace_D_730	O=C(CCn1cc(Cl)c([N+](=O)[O-])n1)NCCCn1cccn1
ZINC02783507	DUD_ace_D_731	O=C(COc1ccccc1P(=O)([O-])[O-])N1CCCCC1
ZINC02785627	DUD_ace_D_732	CC(C)CN1C(=O)C(=Cc2cccs2)N=C1SCC(N)=O
ZINC02786454	DUD_ace_D_733	CC1(C)SC2C(NC(=O)c3ccccc3F)C(=O)N2C1C(=O)[O-]
ZINC02830983	DUD_ace_D_734	O=C([O-])C1C2C=CC(C2)C1C(=O)NCCOCc1ccccc1
ZINC02832691	DUD_ace_D_735	CSc1nc(C)cc(Oc2ccc(OCC(N)=O)nn2)n1
ZINC02843257	DUD_ace_D_736	COc1ccc(CNC(=O)CSc2nnc(N)s2)cc1
ZINC02846257	DUD_ace_D_737	Cc1cc(Cl)c(S(=O)(=O)N(C)c2ccccc2)cc1OCC(N)=O
ZINC02856905	DUD_ace_D_738	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02856906	DUD_ace_D_739	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02856907	DUD_ace_D_740	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02858270	DUD_ace_D_741	COc1ccc(NC(=O)NCc2ccc(C(=O)[O-])cc2)cc1OC
ZINC02858576	DUD_ace_D_742	C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02858577	DUD_ace_D_743	C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02858578	DUD_ace_D_744	C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02858579	DUD_ace_D_745	C=CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
ZINC02860036	DUD_ace_D_746	O=C([O-])C1C2C=CC(O2)C1C(=O)NCCc1ccccc1
ZINC02860873	DUD_ace_D_747	CCCCOc1ccc(-c2nnc(SCC(N)=O)[nH]2)cc1
ZINC02861552	DUD_ace_D_748	C=CCn1c(Cc2ccc(OCC)cc2)nnc1SCC(N)=O
ZINC02862280	DUD_ace_D_749	CCCOc1ccc(-c2nnc(SCC(N)=O)[nH]2)cc1
ZINC02876991	DUD_ace_D_750	Cc1cc2c(nc(SCC(N)=O)n(Cc3ccco3)c2=O)s1
ZINC02879043	DUD_ace_D_751	COc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(Cl)cc2)cc1OC
ZINC02879536	DUD_ace_D_752	C=CCn1c(Cc2ccc(OC)cc2)nnc1SCC(N)=O
ZINC02882921	DUD_ace_D_753	COc1ccc(S(=O)(=O)N(CC(N)=O)Cc2ccccc2)cc1C
ZINC02886171	DUD_ace_D_754	CN(C)c1nc(NCc2ccccc2)nc(SCC(N)=O)n1
ZINC02887414	DUD_ace_D_755	COc1ccc(S(=O)(=O)N(CC(N)=O)Cc2ccccc2)cc1Cl
ZINC02888420	DUD_ace_D_756	N#CC(=Cc1ccc(OCC(=O)N2CCOCC2)cc1)C(N)=S
ZINC02898620	DUD_ace_D_757	CC(C)CNC(=O)CC(=O)NN=Cc1ccc(C(=O)[O-])cc1
ZINC02899055	DUD_ace_D_758	CN(C(=O)OCc1ccccc1)C(CC(N)=O)C(=O)[O-]
ZINC02902767	DUD_ace_D_759	COCCNC(=O)CC(=O)NN=Cc1ccc(C(=O)[O-])cc1
ZINC02924492	DUD_ace_D_760	O=C([O-])c1ccccc1SCC(=O)NCCOc1ccccc1
ZINC02944526	DUD_ace_D_761	O=C(CC(Cc1ccccc1)C(=O)[O-])NCCc1ccc2c(c1)OCO2
ZINC02944528	DUD_ace_D_762	O=C(CC(Cc1ccccc1)C(=O)[O-])NCCc1ccc2c(c1)OCO2
ZINC02956395	DUD_ace_D_763	CCNC(=O)CC1SC(=NN=Cc2ccc(C)o2)N=C1O
ZINC02959832	DUD_ace_D_764	CCCCCNC(=O)Cn1c(=O)c2cccnc2[nH]c1=S
ZINC02962058	DUD_ace_D_765	CCCCn1c(SCC(N)=O)nc2c3ccccc3sc2c1=O
ZINC02974437	DUD_ace_D_766	C=CCNC(=O)CCCn1c(=O)c2cc3c(cc2[nH]c1=S)OCO3
ZINC02975286	DUD_ace_D_767	C=CCNC(=O)CCn1c(=O)c2cc3c(cc2[nH]c1=S)OCO3
ZINC02987688	DUD_ace_D_768	C#CCN1C(=O)SC(=Cc2ccc(OCC(N)=O)cc2)C1=O
ZINC02988906	DUD_ace_D_769	C=CCN1C(=O)C(=Cc2ccc(OCC(N)=O)cc2)C(=O)NC1=S
ZINC02996891	DUD_ace_D_770	Cc1cc(=O)[nH]c(SCC(=O)NCCOc2ccccc2)n1
ZINC02996891	DUD_ace_D_771	Cc1cc(O)nc(SCC(=O)NCCOc2ccccc2)n1
ZINC02996891	DUD_ace_D_772	Cc1cc(O)nc(SCC(=O)NCCOc2ccccc2)n1
ZINC03017661	DUD_ace_D_773	COc1ccc(C)cc1S(=O)(=O)N(CC(N)=O)Cc1ccccc1
ZINC03019419	DUD_ace_D_774	CCOc1ccc(NS(=O)(=O)c2cc(C(=O)[O-])ccc2F)cc1
ZINC03037008	DUD_ace_D_775	CCOCCCNC(=O)CC1Sc2ccccc2NC1=O
ZINC03037010	DUD_ace_D_776	CCOCCCNC(=O)CC1Sc2ccccc2NC1=O
ZINC03038125	DUD_ace_D_777	O=C([O-])CC1SC(NN=Cc2ccc(Br)cc2)NC1=O
ZINC03038127	DUD_ace_D_778	CN(C)c1ccc(C=NNC2NC(=O)C(CC(=O)[O-])S2)cc1
ZINC03043422	DUD_ace_D_779	COCCCNC(=O)Cn1c(=O)c2ccccc2[nH]c1=S
ZINC03046411	DUD_ace_D_780	O=C([O-])CSCC(=O)NCc1csc2ccccc12
ZINC03058817	DUD_ace_D_781	CC(Cc1ccccc1)NC(=O)Cc1ccc(S(=O)(=O)[O-])cc1
ZINC03072028	DUD_ace_D_782	CC(NC(=O)CN1C(=O)C(=Cc2ccccc2)SC1=S)C(=O)[O-]
ZINC03072032	DUD_ace_D_783	COc1ccc(C=C2SC(=S)N(CC(=O)NC(C)C(=O)[O-])C2=O)cc1
ZINC03072050	DUD_ace_D_784	CC(NC(=O)CN1C(=O)SC(=Cc2ccccc2)C1=O)C(=O)[O-]
ZINC03072054	DUD_ace_D_785	Cc1ccc(C=C2SC(=O)N(CC(=O)NC(C)C(=O)[O-])C2=O)cc1
ZINC03072058	DUD_ace_D_786	COc1ccc(C=C2SC(=O)N(CC(=O)NC(C)C(=O)[O-])C2=O)cc1
ZINC03075266	DUD_ace_D_787	Cc1ccc(OCCNC(=O)C2CC=CCC2C(=O)[O-])cc1
ZINC03086171	DUD_ace_D_788	CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)COc3ccccc3)C2SC1
ZINC03089011	DUD_ace_D_789	CC(C)NC(=O)CC(=O)NN=Cc1ccc(C(=O)[O-])cc1
ZINC03090040	DUD_ace_D_790	C=C(CC(=O)NCC)NNC(=O)c1ccc([N+](=O)[O-])c(Cl)c1
ZINC03093383	DUD_ace_D_791	CCCCCCOc1ccc(C(CC(=O)[O-])C(N)=O)cc1
ZINC03119521	DUD_ace_D_792	CC(CC(=O)[O-])CC(=O)NCc1ccc(Cl)cc1
ZINC03122736	DUD_ace_D_793	CC(NC(=O)OCc1ccccc1)C(=O)N1CC(O)CC1C(=O)[O-]
ZINC03140884	DUD_ace_D_794	CC1(C)C(C(=O)NNC(=O)Nc2ccccc2)CCC1(C)C(=O)[O-]
ZINC03166802	DUD_ace_D_795	CC(C)CC(NC(=O)COc1ccc([N+](=O)[O-])cc1Cl)C(=O)[O-]
ZINC03167463	DUD_ace_D_796	CC(O)C(NC(=O)COc1cccc2ccccc21)C(=O)[O-]
ZINC03191837	DUD_ace_D_797	Cc1cc(=O)oc2cc(OCC(=O)N3CCCC3C(=O)[O-])ccc12
ZINC03199366	DUD_ace_D_798	CCN(CC)c1ccc(NS(=O)(=O)c2cc(C(=O)[O-])ccc2F)cc1
ZINC03209303	DUD_ace_D_799	COc1cc(S(=O)(=O)Nc2ccccc2F)cc(C(=O)[O-])c1OC
ZINC03219636	DUD_ace_D_800	O=C([O-])c1cc(S(=O)(=O)NCCCN2CCCC2=O)ccc1Cl
ZINC03220996	DUD_ace_D_801	Nc1nnc(SCC(=O)N2CCC(Cc3ccccc3)CC2)[nH]1
ZINC03221916	DUD_ace_D_802	CCN(Cc1ccccc1)C(=O)CSc1nnc(N)[nH]1
ZINC03223088	DUD_ace_D_803	O=C([O-])c1ccccc1SCC(=O)NC1CCCCCC1
ZINC03223090	DUD_ace_D_804	O=C([O-])c1ccccc1SCC(=O)NC1CCCc2ccccc21
ZINC03223091	DUD_ace_D_805	O=C([O-])c1ccccc1SCC(=O)NC1CCCc2ccccc21
ZINC03224820	DUD_ace_D_806	COC(=O)c1ccc(CNC(=O)CSc2nncn2C)cc1
ZINC03225118	DUD_ace_D_807	COc1ccc(CCNC(=O)CSc2nnc[nH]2)cc1
ZINC03230673	DUD_ace_D_808	O=C([O-])CC1(CC(=O)N2CCN(c3ccccc3O)CC2)CCCC1
ZINC03230995	DUD_ace_D_809	COc1ccc(CCNC(=O)CSCC(=O)[O-])cc1
ZINC03233963	DUD_ace_D_810	O=C([O-])c1nn(CC(=O)NCc2ccc3c(c2)OCO3)c(=O)c2ccccc21
ZINC03234941	DUD_ace_D_811	CCCc1cc(=O)[nH]c(SCC(=O)NCc2ccco2)n1
ZINC03234941	DUD_ace_D_812	CCCc1cc(O)nc(SCC(=O)NCc2ccco2)n1
ZINC03234941	DUD_ace_D_813	CCCc1cc(O)nc(SCC(=O)NCc2ccco2)n1
ZINC03241286	DUD_ace_D_814	O=C([O-])c1nn(CC(=O)NCCC2=CCCCC2)c(=O)c2ccccc21
ZINC03244599	DUD_ace_D_815	CC(NC(=O)CSc1ccccc1C(=O)[O-])C1CC2CCC1C2
ZINC03244600	DUD_ace_D_816	CCN(Cc1ccccc1)C(=O)CSc1ccccc1C(=O)[O-]
ZINC03245387	DUD_ace_D_817	O=C([O-])c1nn(CC(=O)NCC2CCCO2)c(=O)c2ccccc21
ZINC03245388	DUD_ace_D_818	O=C([O-])c1nn(CC(=O)NCC2CCCO2)c(=O)c2ccccc21
ZINC03245996	DUD_ace_D_819	CCN(C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O)C1CCCCC1
ZINC03248313	DUD_ace_D_820	COc1ccccc1CNC(=O)CSc1nnc(N)s1
ZINC03248736	DUD_ace_D_821	CC(C)(C)NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03248737	DUD_ace_D_822	CC1CCCCC1NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03248739	DUD_ace_D_823	CC1CCCCC1NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03248741	DUD_ace_D_824	CC1CCCCC1NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03248742	DUD_ace_D_825	CC1CCCCC1NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03249252	DUD_ace_D_826	CC(C)NC(=O)NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03249691	DUD_ace_D_827	O=C([O-])c1nn(CC(=O)NCc2ccco2)c(=O)c2ccccc21
ZINC03251564	DUD_ace_D_828	CCC(C)C(NC(N)=O)C(=O)OCC(=O)c1ccc(Cl)cc1
ZINC03251566	DUD_ace_D_829	CCC(C)C(NC(N)=O)C(=O)OCC(=O)c1ccc(Cl)cc1
ZINC03255155	DUD_ace_D_830	O=C([O-])c1cccnc1SCC(=O)NCc1ccc(F)cc1
ZINC03255158	DUD_ace_D_831	O=C([O-])c1cccnc1SCC(=O)NC1CCCc2ccccc21
ZINC03255159	DUD_ace_D_832	O=C([O-])c1cccnc1SCC(=O)NC1CCCc2ccccc21
ZINC03256514	DUD_ace_D_833	C=C(C)CN(CC)C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03270345	DUD_ace_D_834	CCN(Cc1ccccc1)C(=O)CSc1nnc(C)c(=O)n1N
ZINC03271578	DUD_ace_D_835	O=C([O-])c1nn(CC(=O)NC2CCCC2)c(=O)c2ccccc21
ZINC03271874	DUD_ace_D_836	CC(C)N(C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O)C(C)C
ZINC03272312	DUD_ace_D_837	Nc1cc(C(=O)OCC(=O)NCc2ccc3c(c2)OCO3)ccc1Cl
ZINC03272703	DUD_ace_D_838	O=C([O-])c1nn(CC(=O)NC2CCCCC2)c(=O)c2ccccc21
ZINC03278625	DUD_ace_D_839	O=C([O-])c1nn(CC(=O)NCc2ccc(F)cc2)c(=O)c2ccccc21
ZINC03279595	DUD_ace_D_840	O=C([O-])C1CCN(C(=O)CSc2ncnc3ccccc32)CC1
ZINC03286843	DUD_ace_D_841	CCOc1ccccc1Nc1nnc(SCC(N)=O)s1
ZINC03287090	DUD_ace_D_842	O=C([O-])CC(SCC(=O)N1CCC(Cc2ccccc2)CC1)C(=O)[O-]
ZINC03287092	DUD_ace_D_843	O=C([O-])CC(SCC(=O)N1CCC(Cc2ccccc2)CC1)C(=O)[O-]
ZINC03287548	DUD_ace_D_844	O=C([O-])c1cccnc1SCC(=O)NC1CCCCCCC1
ZINC03287592	DUD_ace_D_845	CC1CCCC(NC(=O)CSc2ncccc2C(=O)[O-])C1C
ZINC03287755	DUD_ace_D_846	CC(NC(=O)CSc1ncccc1C(=O)[O-])C1CC2CCC1C2
ZINC03291098	DUD_ace_D_847	Cc1nnc(SCC(=O)N2CCC(C(=O)[O-])CC2)n1Cc1ccccc1
ZINC03292777	DUD_ace_D_848	CC(C)CCNC(=O)CSc1nc2ccccc2c(=O)[nH]1
ZINC03292777	DUD_ace_D_849	CC(C)CCNC(=O)CSc1nc(O)c2ccccc2n1
ZINC03295197	DUD_ace_D_850	CCN(CC)C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03303846	DUD_ace_D_851	Cc1ccc(CNC(=O)CSc2nnc(C)c(=O)n2N)cc1
ZINC03304792	DUD_ace_D_852	Cc1ccc(S(=O)(=O)N(CC(N)=O)Cc2ccccc2Cl)cc1
ZINC03306503	DUD_ace_D_853	CN(C(=O)c1cccs1)c1ccc(OCC(=O)NCC(=O)[O-])cc1
ZINC03312897	DUD_ace_D_854	CCCNC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03318052	DUD_ace_D_855	O=C([O-])c1ccccc1SCC(=O)NCc1ccco1
ZINC03320295	DUD_ace_D_856	O=C([O-])C1CCN(C(=O)CSc2nnc3ccccn32)CC1
ZINC03320308	DUD_ace_D_857	O=C([O-])C1CCN(C(=O)CSc2nnc(-c3ccccc3)o2)CC1
ZINC03325146	DUD_ace_D_858	CC(=O)NCc1ccc(S(=O)(=O)NC(C(=O)[O-])C(C)C)cc1
ZINC03325148	DUD_ace_D_859	CC(=O)NCc1ccc(S(=O)(=O)NC(C(=O)[O-])C(C)C)cc1
ZINC03326495	DUD_ace_D_860	O=C([O-])CCC(=O)N1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
ZINC03330569	DUD_ace_D_861	COCCNC(=O)CSc1ccccc1C(=O)[O-]
ZINC03330980	DUD_ace_D_862	CC(=O)c1ccc(OCC(=O)N2CCC(C(=O)[O-])CC2)cc1
ZINC03334056	DUD_ace_D_863	CCN(Cc1ccccc1)C(=O)CSc1nc(N)cc(=O)[nH]1
ZINC03334056	DUD_ace_D_864	CCN(Cc1ccccc1)C(=O)CSc1nc(N)cc(O)n1
ZINC03338466	DUD_ace_D_865	CN(Cc1cccs1)C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03338830	DUD_ace_D_866	CCC(C)C(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(N)=O
ZINC03338832	DUD_ace_D_867	CCC(C)C(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(N)=O
ZINC03338833	DUD_ace_D_868	CCC(C)C(NC(=O)c1ccc(Cl)cc1)C(=O)OCC(N)=O
ZINC03345586	DUD_ace_D_869	O=C([O-])C1CCN(C(=O)COc2ccc(Br)cc2)CC1
ZINC03347863	DUD_ace_D_870	COc1ccc(CN(C)C(=O)Cn2nc(C(=O)[O-])c3ccccc3c2=O)cc1
ZINC03351288	DUD_ace_D_871	CCc1ccc(Nc2nnc(SC(C)C(N)=O)s2)cc1
ZINC03351290	DUD_ace_D_872	CCc1ccc(Nc2nnc(SC(C)C(N)=O)s2)cc1
ZINC03354201	DUD_ace_D_873	CCN(C(=O)CSc1ncccc1C(=O)[O-])C1CCCCC1
ZINC03358551	DUD_ace_D_874	C=CCn1c(SC(C)C(=O)NC(N)=O)nnc1-c1ccoc1C
ZINC03362790	DUD_ace_D_875	O=C(COC(=O)c1ccc(CO)cc1)NCc1cccs1
ZINC03370158	DUD_ace_D_876	CC(C)CN(CC(C)C)C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03371591	DUD_ace_D_877	CC(C)OCCCn1c(SCC(N)=O)nc2ccccc2c1=O
ZINC03378478	DUD_ace_D_878	Cc1ccccc1C(=O)NC(C(=O)NC(C[S-])C(=O)[O-])C(C)C
ZINC03378481	DUD_ace_D_879	Cc1ccccc1C(=O)NC(C(=O)NC(C[S-])C(=O)[O-])C(C)C
ZINC03378484	DUD_ace_D_880	Cc1ccccc1C(=O)NC(C(=O)NC(C[S-])C(=O)[O-])C(C)C
ZINC03378486	DUD_ace_D_881	Cc1ccccc1C(=O)NC(C(=O)NC(C[S-])C(=O)[O-])C(C)C
ZINC03396109	DUD_ace_D_882	C=CCn1c(SC(C)C(N)=O)nc2sc(CC)cc2c1=O
ZINC03399649	DUD_ace_D_883	C=CCn1c(COc2ccc(F)cc2)nnc1SC(C)C(N)=O
ZINC03399652	DUD_ace_D_884	C=CCn1c(COc2ccc(F)cc2)nnc1SC(C)C(N)=O
ZINC03402766	DUD_ace_D_885	C=CCn1c(COc2cccc(C)c2)nnc1SCC(N)=O
ZINC03403001	DUD_ace_D_886	COCC(C)n1c(SC(C)C(N)=O)nc2ccccc2c1=O
ZINC03403004	DUD_ace_D_887	COCC(C)n1c(SC(C)C(N)=O)nc2ccccc2c1=O
ZINC03406767	DUD_ace_D_888	C=CCn1c(SC(C)C(N)=O)nnc1-c1ccc(OC)cc1
ZINC03407949	DUD_ace_D_889	CC(C)CC(NC(=O)C(NC(=O)c1ccco1)C(C)C)C(=O)[O-]
ZINC03407952	DUD_ace_D_890	CC(C)CC(NC(=O)C(NC(=O)c1ccco1)C(C)C)C(=O)[O-]
ZINC03407954	DUD_ace_D_891	CC(C)CC(NC(=O)C(NC(=O)c1ccco1)C(C)C)C(=O)[O-]
ZINC03407957	DUD_ace_D_892	CC(C)CC(NC(=O)C(NC(=O)c1ccco1)C(C)C)C(=O)[O-]
ZINC03407963	DUD_ace_D_893	O=C([O-])c1ccc(CNC(=O)CN2C(=O)COc3ccccc32)cc1
ZINC03410108	DUD_ace_D_894	C=CCn1c(COc2ccc(OC)cc2)nnc1SCC(N)=O
ZINC03410703	DUD_ace_D_895	CC(Sc1nnc(COc2ccccc2Cl)n1C1CC1)C(N)=O
ZINC03410708	DUD_ace_D_896	CC(Sc1nnc(COc2ccccc2Cl)n1C1CC1)C(N)=O
ZINC03421229	DUD_ace_D_897	COCCNC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03427127	DUD_ace_D_898	CSCCC(NC(=O)c1ccccc1C)C(=O)OCC(N)=O
ZINC03427129	DUD_ace_D_899	CSCCC(NC(=O)c1ccccc1C)C(=O)OCC(N)=O
ZINC03427356	DUD_ace_D_900	Cc1nn(Cc2ccccc2Cl)c(C)c1C=CC(=O)OCC(N)=O
ZINC03428859	DUD_ace_D_901	COCCNC(=O)COC(=O)CNC(=O)c1cccc(F)c1
ZINC03428870	DUD_ace_D_902	C=CCNC(=O)COC(=O)CNC(=O)c1cccc(F)c1
ZINC03430179	DUD_ace_D_903	CC(NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O)c1ccc(F)cc1
ZINC03430180	DUD_ace_D_904	CC(NC(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O)c1ccc(F)cc1
ZINC03435430	DUD_ace_D_905	CCC1CCCCN1C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03435434	DUD_ace_D_906	CCC1CCCCN1C(=O)Cn1nc(C(=O)[O-])c2ccccc2c1=O
ZINC03435504	DUD_ace_D_907	CNC(=O)NC(=O)COC(=O)CCC(=O)c1ccc(F)cc1
ZINC03435530	DUD_ace_D_908	CCNC(=O)NC(=O)COC(=O)CCC(=O)c1ccc(F)cc1
ZINC03439455	DUD_ace_D_909	CNC(=O)NC(=O)CSc1nnc(Nc2cccc(OC)c2)s1
ZINC03440046	DUD_ace_D_910	COc1cccc(-c2nnc(SC(C)C(N)=O)n2Cc2ccco2)c1
ZINC03441783	DUD_ace_D_911	O=C([O-])c1ccccc1SCC(=O)NCC1CCCCC1
ZINC03441836	DUD_ace_D_912	O=C([O-])c1ccccc1OCC(=O)NC1CCCc2ccccc21
ZINC03441839	DUD_ace_D_913	O=C([O-])c1ccccc1OCC(=O)NC1CCCc2ccccc21
ZINC03442006	DUD_ace_D_914	CC(NC(=O)CCc1nc2ccccc2c(=O)[nH]1)C(=O)[O-]
ZINC03442006	DUD_ace_D_915	CC(NC(=O)CCc1nc(O)c2ccccc2n1)C(=O)[O-]
ZINC03442007	DUD_ace_D_916	CC(NC(=O)CCc1nc2ccccc2c(=O)[nH]1)C(=O)[O-]
ZINC03442007	DUD_ace_D_917	CC(NC(=O)CCc1nc(O)c2ccccc2n1)C(=O)[O-]
ZINC03442116	DUD_ace_D_918	CCCn1c(O)nnc1SCC(=O)NCc1ccc2c(c1)OCO2
ZINC03448912	DUD_ace_D_919	CCCc1cc(=O)[nH]c(SCC(=O)NC(=O)NCc2ccco2)n1
